player_id,web_name,club_short,position,expected_role,draft_availability,cost,ownership_pct,total_season_xp,total_season_xmins,avg_xmins_season,xp_per_90_season,total_gw1_6_xp,total_gw1_6_xmins,avg_xmins_gw1_6,xp_per_90_gw1_6,n_gameweeks
379,Isak,LIV,FWD,Nailed Starter,eligible,9.0,11.6,120.35,2945.0,77.5,3.678,19.48,465.0,77.5,3.7695,38
88,Kayode,BRE,DEF,Nailed Starter,eligible,4.5,4.3,120.26,2945.0,77.5,3.6752,18.38,465.0,77.5,3.5566,38
533,Mukiele,SUN,DEF,Regular Starter,eligible,5.5,7.6,119.76,2356.0,62.0,4.575,19.38,372.0,62.0,4.6887,38
173,Thomas,COV,DEF,Regular Starter,eligible,4.0,8.5,119.51,2356.0,62.0,4.5654,19.1,372.0,62.0,4.6201,38
464,Wissa,NEW,FWD,Regular Starter,eligible,6.0,1.4,119.51,2356.0,62.0,4.5654,19.71,372.0,62.0,4.7675,38
224,Nketiah,CRY,FWD,Regular Starter,eligible,5.5,0.5,119.02,2356.0,62.0,4.5466,18.94,372.0,62.0,4.5811,38
461,Touré,NEW,MID,Regular Starter,eligible,6.0,0.2,119.0,2356.0,62.0,4.546,19.58,372.0,62.0,4.7381,38
541,Meunier,SUN,DEF,Regular Starter,eligible,4.5,0.5,118.91,2356.0,62.0,4.5425,19.32,372.0,62.0,4.6752,38
31,Konsa,AVL,DEF,Nailed Starter,eligible,4.5,17.7,118.82,2945.0,77.5,3.6312,18.74,465.0,77.5,3.6274,38
473,Aina,NFO,DEF,Regular Starter,eligible,4.5,4.9,118.82,2356.0,62.0,4.539,18.94,372.0,62.0,4.5834,38
503,Van de Ven,TOT,DEF,Nailed Starter,eligible,5.0,6.4,118.24,2945.0,77.5,3.6135,18.75,465.0,77.5,3.6292,38
41,Buendía,AVL,MID,Regular Starter,eligible,6.0,0.8,117.97,2356.0,62.0,4.5065,18.69,372.0,62.0,4.5211,38
256,Tete,FUL,DEF,Regular Starter,eligible,4.5,0.2,117.95,2356.0,62.0,4.5059,17.67,372.0,62.0,4.2758,38
78,Kroupi.Jr,BOU,MID,Regular Starter,exclude_gw1-5,7.5,7.5,117.72,2046.0,53.8,5.1782,2.9,62.0,10.3,4.2158,38
371,Gravenberch,LIV,MID,Nailed Starter,eligible,6.0,1.9,117.7,2945.0,77.5,3.5968,18.85,465.0,77.5,3.6489,38
295,McBurnie,HUL,FWD,Regular Starter,eligible,5.5,2.0,117.53,2356.0,62.0,4.4896,18.35,372.0,62.0,4.4391,38
402,Rodrigo,MCI,MID,Regular Starter,exclude_gw1,6.5,0.1,117.09,2294.0,60.4,4.5938,15.78,310.0,51.7,4.5825,38
431,Amad,MUN,MID,Regular Starter,eligible,6.0,1.5,117.04,2356.0,62.0,4.4709,18.91,372.0,62.0,4.575,38
400,Doku,MCI,MID,Regular Starter,eligible,7.5,6.4,116.94,2356.0,62.0,4.4671,18.4,372.0,62.0,4.4515,38
367,Gakpo,LIV,MID,Regular Starter,eligible,7.0,3.5,116.79,2356.0,62.0,4.4613,18.92,372.0,62.0,4.5768,38
369,Ngumoha,LIV,MID,Regular Starter,eligible,6.0,1.7,116.56,2356.0,62.0,4.4527,18.89,372.0,62.0,4.5709,38
474,Jair Cunha,NFO,DEF,Regular Starter,eligible,4.5,0.6,116.39,2356.0,62.0,4.446,18.57,372.0,62.0,4.492,38
472,Murillo,NFO,DEF,Regular Starter,watch,5.5,0.2,116.19,2266.0,59.6,4.6148,14.49,282.0,47.0,4.6254,38
